 1 6 2 1
 1 7 1 2
 2 5 2 1
 2 7 4 3
 3 5 4 3
 3 6 1 2
 4 10 4 3
 4 16 2 1
 4 29 3 4
 4 52 1 2
 5 29 4 3
 6 16 4 3
 7 10 1 2
 8 13 2 1
 8 14 1 2
 9 12 2 1
 9 14 4 3
 10 12 4 3
 10 13 1 2
 11 24 2 1
 11 37 3 4
 12 36 2 1
 12 37 4 3
 13 22 3 4
 13 24 4 3
 15 20 2 1
 15 21 1 2
 16 19 2 1
 16 21 4 3
 17 19 4 3
 17 20 1 2
 18 25 4 3
 18 45 3 4
 19 44 2 1
 19 45 4 3
 21 22 4 3
 21 25 1 2
 23 27 2 1
 23 28 1 2
 24 26 2 1
 24 28 4 3
 25 26 4 3
 25 27 1 2
 26 52 2 1
 26 53 4 3
 29 34 2 1
 29 35 1 2
 30 33 2 1
 30 35 4 3
 31 33 4 3
 31 34 1 2
 32 39 4 3
 32 46 2 1
 32 59 3 4
 32 80 1 2
 33 59 4 3
 34 44 3 4
 34 46 4 3
 35 36 4 3
 35 39 1 2
 37 42 2 1
 37 43 1 2
 38 41 2 1
 38 43 4 3
 39 41 4 3
 39 42 1 2
 40 54 2 1
 40 67 3 4
 41 66 2 1
 41 67 4 3
 42 52 3 4
 42 54 4 3
 45 50 2 1
 45 51 1 2
 46 49 2 1
 46 51 4 3
 47 49 4 3
 47 50 1 2
 48 55 4 3
 48 74 3 4
 49 73 2 1
 49 74 4 3
 51 52 4 3
 51 55 1 2
 53 57 2 1
 53 58 1 2
 54 56 2 1
 54 58 4 3
 55 56 4 3
 55 57 1 2
 56 80 2 1
 56 81 4 3
 59 64 2 1
 59 65 1 2
 60 63 2 1
 60 65 4 3
 61 63 4 3
 61 64 1 2
 62 69 4 3
 62 75 2 1
 64 73 3 4
 64 75 4 3
 65 66 4 3
 65 69 1 2
 67 71 2 1
 67 72 1 2
 68 70 2 1
 68 72 4 3
 69 70 4 3
 69 71 1 2
 71 80 3 4
 71 82 4 3
 74 78 2 1
 74 79 1 2
 75 77 2 1
 75 79 4 3
 76 77 4 3
 76 78 1 2
 79 80 4 3
 79 83 1 2
 81 85 2 1
 81 86 1 2
 82 84 2 1
 82 86 4 3
 83 84 4 3
 83 85 1 2
