            1           6           2           1
            1           7           1           2
            2           5           2           1
            2           7           4           3
            3           5           4           3
            3           6           1           2
            4          10           4           3
            4          16           2           1
            4          29           3           4
            4          50           1           2
            5          29           4           3
            6          16           4           3
            7          10           1           2
            8          13           2           1
            8          14           1           2
            9          12           2           1
            9          14           4           3
           10          12           4           3
           10          13           1           2
           11          24           2           1
           11          37           3           4
           12          36           2           1
           12          37           4           3
           13          22           3           4
           13          24           4           3
           15          20           2           1
           15          21           1           2
           16          19           2           1
           16          21           4           3
           17          19           4           3
           17          20           1           2
           18          25           4           3
           18          44           3           4
           19          43           2           1
           19          44           4           3
           21          22           4           3
           21          25           1           2
           23          27           2           1
           23          28           1           2
           24          26           2           1
           24          28           4           3
           25          26           4           3
           25          27           1           2
           26          50           2           1
           26          51           4           3
           29          34           2           1
           29          35           1           2
           30          33           2           1
           30          35           4           3
           31          33           4           3
           31          34           1           2
           32          39           4           3
           32          45           2           1
           34          43           3           4
           34          45           4           3
           35          36           4           3
           35          39           1           2
           37          41           2           1
           37          42           1           2
           38          40           2           1
           38          42           4           3
           39          40           4           3
           39          41           1           2
           41          50           3           4
           41          52           4           3
           44          48           2           1
           44          49           1           2
           45          47           2           1
           45          49           4           3
           46          47           4           3
           46          48           1           2
           49          50           4           3
           49          53           1           2
           51          55           2           1
           51          56           1           2
           52          54           2           1
           52          56           4           3
           53          54           4           3
           53          55           1           2
