 1 3 4 3
 1 4 1 2
 2 5 4 3
 2 9 2 1
 2 26 3 4
 3 26 4 3
 4 9 4 3
 5 7 4 3
 5 8 1 2
 6 15 2 1
 6 32 3 4
 7 32 4 3
 8 15 4 3
 9 12 2 1
 9 14 4 3
 10 12 4 3
 10 13 1 2
 11 16 4 3
 11 19 2 1
 13 19 4 3
 14 16 1 2
 15 17 2 1
 16 17 4 3
 16 18 1 2
 18 23 4 3
 19 21 2 1
 19 22 4 3
 20 24 4 3
 20 36 3 4
 21 36 4 3
 22 24 1 2
 23 25 2 1
 24 25 4 3
 25 42 4 3
 26 30 2 1
 26 31 1 2
 27 29 4 3
 27 30 1 2
 28 33 4 3
 28 46 3 4
 29 46 4 3
 31 33 1 2
 32 35 2 1
 33 34 4 3
 33 35 1 2
 34 50 4 3
 36 40 2 1
 36 41 1 2
 37 39 4 3
 37 40 1 2
 38 43 4 3
 38 63 3 4
 39 63 4 3
 41 43 1 2
 42 45 2 1
 43 44 4 3
 43 45 1 2
 44 69 4 3
 46 48 2 1
 46 49 1 2
 47 51 4 3
 47 53 2 1
 48 53 4 3
 49 51 1 2
 50 52 2 1
 51 52 1 2
 52 59 4 3
 53 56 2 1
 53 58 4 3
 54 56 4 3
 54 57 1 2
 55 60 4 3
 55 64 2 1
 57 64 4 3
 58 60 1 2
 59 61 2 1
 60 61 4 3
 60 62 1 2
 62 70 4 3
 63 67 2 1
 63 68 1 2
 64 66 2 1
 64 68 4 3
 65 66 4 3
 65 67 1 2
 68 71 1 2
 69 73 2 1
 69 74 1 2
 70 72 2 1
 70 74 4 3
 71 72 4 3
 71 73 1 2
