 1 6 2 1
 1 40 1 2
 2 14 2 1
 2 48 1 2
 3 12 3 4
 3 14 4 3
 4 20 3 4
 4 22 4 3
 5 10 2 1
 5 11 1 2
 6 9 2 1
 6 11 4 3
 7 9 4 3
 7 10 1 2
 8 15 4 3
 8 33 3 4
 9 32 2 1
 9 33 4 3
 11 12 4 3
 11 15 1 2
 13 18 2 1
 13 19 1 2
 14 17 2 1
 14 19 4 3
 15 17 4 3
 15 18 1 2
 16 23 4 3
 16 41 3 4
 17 40 2 1
 17 41 4 3
 19 20 4 3
 19 23 1 2
 21 25 2 1
 21 26 1 2
 22 24 2 1
 22 26 4 3
 23 24 4 3
 23 25 1 2
 24 48 2 1
 24 49 4 3
 27 34 2 1
 27 57 1 2
 28 32 3 4
 28 34 4 3
 29 42 2 1
 29 60 1 2
 30 40 3 4
 30 42 4 3
 31 48 3 4
 31 50 4 3
 33 38 2 1
 33 39 1 2
 34 37 2 1
 34 39 4 3
 35 37 4 3
 35 38 1 2
 36 43 4 3
 36 55 3 4
 37 55 4 3
 39 40 4 3
 39 43 1 2
 41 46 2 1
 41 47 1 2
 42 45 2 1
 42 47 4 3
 43 45 4 3
 43 46 1 2
 44 51 4 3
 44 58 3 4
 45 57 2 1
 45 58 4 3
 47 48 4 3
 47 51 1 2
 49 53 2 1
 49 54 1 2
 50 52 2 1
 50 54 4 3
 51 52 4 3
 51 53 1 2
 52 60 2 1
 55 56 1 2
 56 57 4 3
 58 59 1 2
 59 60 4 3
