# qcoord = 4
# qdih = 3

0 0 -1
0 1 -1
0 2 -1
0 3 -1
0 4 -1
0 5 -1
0 6 -1
0 7 -1
0 8 -1
0 9 -1
0 10 -1
0 11 -1
0 12 -1
0 13 -1

1 0 -0
1 1 -1
1 2 -1
1 3 -1
1 4 -1
1 5 -1
1 6 -1
1 7 -1
1 8 -1
1 9 -1
1 10 -1
1 11 -1
1 12 -1
1 13 -1

2 0 -0
2 1 -1
2 2 -1
2 3 -1
2 4 -1
2 5 -1
2 6 -1
2 7 -1
2 8 -1
2 9 -1
2 10 -1
2 11 -1
2 12 -1
2 13 -1

3 0 -0
3 1 -1
3 2 -1
3 3 -1
3 4 -1
3 5 -1
3 6 -1
3 7 -1
3 8 -1
3 9 -1
3 10 -1
3 11 -1
3 12 -1
3 13 -1

4 0 -0
4 1 -1
4 2 -1
4 3 -1
4 4 -1
4 5 -1
4 6 -1
4 7 -1
4 8 -1
4 9 -1
4 10 -1
4 11 -1
4 12 -1
4 13 -1

5 0 -0
5 1 -1
5 2 -1
5 3 -1
5 4 -1
5 5 -1
5 6 -1
5 7 -1
5 8 -1
5 9 -1
5 10 -1
5 11 -1
5 12 -1
5 13 -1

6 0 -0
6 1 5.49306
6 2 -1
6 3 -1
6 4 -1
6 5 -1
6 6 -1
6 7 -1
6 8 -1
6 9 -1
6 10 -1
6 11 -1
6 12 -1
6 13 -1

7 0 -0
7 1 5.49306
7 2 -1
7 3 -1
7 4 -1
7 5 -1
7 6 -1
7 7 -1
7 8 -1
7 9 -1
7 10 -1
7 11 -1
7 12 -1
7 13 -1

8 0 -0
8 1 5.51675
8 2 -1
8 3 -1
8 4 -1
8 5 -1
8 6 -1
8 7 -1
8 8 -1
8 9 -1
8 10 -1
8 11 -1
8 12 -1
8 13 -1

9 0 -0
9 1 5.53995
9 2 -1
9 3 -1
9 4 -1
9 5 -1
9 6 -1
9 7 -1
9 8 -1
9 9 -1
9 10 -1
9 11 -1
9 12 -1
9 13 -1

10 0 -0
